CODIGO_PROYECTO;N;SUBDIRECCION;PROGRAMA_CONICYT;INSTRUMENTO;NOMBRE_CONCURSO;ANO_CONCURSO;ANO_FALLO;NOMBRE_PROYECTO;AREA_OCDE;DISCIPLINA_DETALLE;GRUPO_DE_EVALUACION;DURACION_MESES;TIPO_BENEFICIARIO;NOMBRE_RESPONSABLE;SEXO;INSTITUCION_PRINCIPAL;MACROZONA MINCIENCIA (segUn ax);REGION_EJECUCION;MONTO ADJUDICADO (MILES $);M$_SINFO_NOSOLICITA
ICN99_001;1;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;MILLENNIUM INSTITUTE FOR FUNDAMENTAL AND APPLIED BIOLOGY (IFAB);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;PABLO VALENZUELA VALDES;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $6.834.806 ;
ICN99_003;3;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;MILLENIUM INSTITUTE FOR ADVANCED STUDIES IN CELL BIOLOGY AND BIOTECHNOLOGY (IASBB);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;60;PERSONA NATURAL;RICARDO MACCIONI BARAONA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $3.316.971 ;
ICN99_005;5;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;CENTRO DE ESTUDIOS CIENTIFICOS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;CLAUDIO TEITELBOIM WEITZMANN;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $7.420.108 ;
NCN99_037;50;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;"METAL DISPERSED SYSTEMS. APPLICATIONS FINE CHEMISTRY""";CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;PATRICIO REYES NUÑEZ;HOMBRE;NO APLICA;SUR;REGION DEL BIOBIO; $399.000 ;
NCN99_040-R02;53;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;CENTER FOR ADVANCED STUDIES IN ECOLOGY AND RESEARCH ON BIODIVERSITY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;MARY KALIN ARROYO;MUJER;NO APLICA;RM;REGION METROPOLITANA; $703.500 ;
NCN99_047-R02;60;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;CONDENSED MATTER PHYSICS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;PATRICIO VARGAS CANTIN;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $852.000 ;
NCN99_048-R02;61;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;MILLENNIUM NUCLEUS IN DEVELOPMENTAL BIOLOGY (MNDB);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;ROBERTO MAYOR CARO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $852.000 ;
NCN99_063;76;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;VALPARAISO CENTER FOR CELLULAR AND MOLECULAR NEUROSCIENCE;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ALAN NEELY DELGUEIL;HOMBRE;NO APLICA;CENTRO;REGION DE VALPARAISO; $399.000 ;
NCN01_005-R04;81;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2001 NUCLEOS CIENTIFICOS MILENIO;2001;2002;NUCLEUS MILLENNIUM ON INFORMATION AND RANDOMNESS:  FUNDAMENTAL AND APPLICATIONS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;SERVET MARTINEZ AGUILERA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $892.500 ;
NCN01_007-R04;83;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2001 NUCLEOS CIENTIFICOS MILENIO;2001;2002;INTEGRATIVE NEUROSCIENCE;MEDICINA Y CIENCIAS DE LA SALUD;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;PEDRO MALDONADO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $952.500 ;
NCN01_029-R04;105;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2001 NUCLEOS CIENTIFICOS MILENIO;2001;2001;PROPOSAL OF MILLENNIUM SCIENTIFIC NUCLEUS FOR WEB RESEARCH;INGENIERIA Y TECNOLOGIA;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;RICARDO BAEZA YATES;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $929.000 ;
NCN01_034-R04;110;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2001 NUCLEOS CIENTIFICOS MILENIO;2001;2001;ENGINEERING OF COMPLEX SYSTEMS;INGENIERIA Y TECNOLOGIA;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;ANDRES WEINTRAUB POHORILLE;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $1.219.000 ;
NCN01_057-R04;133;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2001 NUCLEOS CIENTIFICOS MILENIO;2001;2001;FOREST ECOSYSTEMIC SERVICES TO AQUATIC SYSTEMS UNDER CLIMATIC FLUCTUATIONS;CIENCIAS AGRICOLAS;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;ANTONIO LARA A.;HOMBRE;NO APLICA;SUR;REGION DE LOS LAGOS; $929.000 ;
NCN02_004;140;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2002 NUCLEOS CIENTIFICOS MILENIO;2002;2003;MILLENNIUM NUCLEUS FOR APPLIED QUANTUM MECHANICS AND COMPUTATIONAL CHEMISTRY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;PATRICIA PEREZ LOPEZ;MUJER;NO APLICA;RM;REGION METROPOLITANA; $487.500 ;
NCN02_009-R06;145;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2002 NUCLEOS CIENTIFICOS MILENIO;2002;2003;THE MILLENNIUM NUCLEUS IN PLANT CELL BIOLOGY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;ARIEL ORELLANA LOPEZ;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $1.022.394 ;
NCN02_033-R06;169;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2002 NUCLEOS CIENTIFICOS MILENIO;2002;2003;MILLENNIUM SCIENCE NUCLEUS OF SEISMOTECTONICS AND SEISMIC HAZARD;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;JAIME CAMPOS MUÑOZ;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $994.000 ;
NCN02_049-R06;185;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2002 NUCLEOS CIENTIFICOS MILENIO;2002;2003;CENTER FOR QUANTUM OPTICS AND QUANTUM INFORMANTION;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;CARLOS SAAVEDRA RUBILAR;HOMBRE;NO APLICA;SUR;REGION DEL BIOBIO; $1.031.500 ;
NCN04_007;193;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2004 NUCLEOS CIENTIFICOS MILENIO;2004;2005;MICROBIAL ECOLOGY AND ENVIRONMENTAL MICROBIOLOGY AND BIOTECHNOLOGY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;BERNARDO GONZALEZ OJEDA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $486.500 ;
NCN04_030-R07;216;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2004 NUCLEOS CIENTIFICOS MILENIO;2004;2005;MILLENNIUM NUCLEUS ON IMMUNOLOGY AND IMMUNOTHERAPY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;ALEXIS KALERGIS PARRA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $450.000 ;
NCN04_048-R07;234;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2004 NUCLEOS CIENTIFICOS MILENIO;2004;2005;POWER ELECTRONICS AND MECHATRONICS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;JORGE PONTT OLIVARES;HOMBRE;NO APLICA;CENTRO;REGION DE VALPARAISO; $1.047.055 ;
ICN05_001;250;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2005 INSTITUTOS CIENTIFICOS MILENIO;2005;2005;INSTITUTE FOR CELL DYNAMICS AND BIOTECHNOLOGY (ICDB);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;60;PERSONA NATURAL;JUAN ALFONSO ASENJO DE LEUZE;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $3.843.456 ;
ICN05_002;251;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2005 INSTITUTOS CIENTIFICOS MILENIO;2005;2005;INSTITUTE OF ECOLOGY AND BIODIVERSITY (IEB);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;MARY THERESE KALIN HURLEY;MUJER;NO APLICA;RM;REGION METROPOLITANA; $8.180.970 ;
ICN05_004;253;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2005 INSTITUTOS CIENTIFICOS MILENIO;2005;2005;COMPLEX ENGINEERING SYSTEMS;INGENIERIA Y TECNOLOGIA;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;ANDRES FELIX WEINTRAUB POHORILLE;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $7.789.798 ;
NCN06_008-R10;271;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2006 NUCLEOS CIENTIFICOS MILENIO;2006;2007;STRESS AND ADDICTION:  FROM MOLECULES TO BEHAVIOUR;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;KATIA CECILIA GYSLING CASELLI;MUJER;NO APLICA;RM;REGION METROPOLITANA; $1.147.679 ;
NCN06_009-R10;272;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2006 NUCLEOS CIENTIFICOS MILENIO;2006;2007;MILLENNIUM NUCLEUS FOR PLANT FUNCTIONAL GENOMICS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;RODRIGO GUTIERREZ ILABACA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $1.767.102 ;
NCN06_022-R10;285;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2006 NUCLEOS CIENTIFICOS MILENIO;2006;2007;BASIC AND APPLIED MAGNETISM;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;DORA ALTBIR DRULLLINSKY;MUJER;NO APLICA;RM;REGION METROPOLITANA; $1.149.972 ;
NCN06_039;302;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2006 NUCLEOS CIENTIFICOS MILENIO;2006;2007;CENTER FOR GENOMICS OF THE CELL (CGC);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MIGUEL ALLENDE CONNELLY;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $535.000 ;
NCN06_045-R10;308;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2006 NUCLEOS CIENTIFICOS MILENIO;2006;2007;MILLENNIUM CENTER FOR SUPERNOVA SCIENCE;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;MARIO HAMUY WACKENHUT;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $418.379 ;
NCN07_006-R12;332;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2007 DE INVESTIGACION EN CIENCIAS NATURALES;2007;2007;MOLECULAR ENGINEERING AND SUPRAMOLECULAR CHEMISTRY FOR CATALYSIS, ELECTROCATALYSIS, REMEDIATION AND ENERGY CONVERSION;INGENIERIA Y TECNOLOGIA;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;RAMIRO ARRATIA PEREZ;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $1.157.821 ;
NCN07_011-R12;337;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2007 DE INVESTIGACION EN CIENCIAS NATURALES;2007;2007;MILLENNIUM NUCLEUS IN REGENERATIVE BIOLOGY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;JUAN LARRAIN CORREA/FRANCISCA BRONFMAN;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $1.157.821 ;
NCN07_021;347;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2007 DE INVESTIGACION EN CIENCIAS NATURALES;2007;2007;MILKY WAY MILLENNIUM;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MARCIO CATELAN;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $545.821 ;
NCN07_027-R12;353;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2007 DE INVESTIGACION EN CIENCIAS NATURALES;2007;2007;MATHEMATICAL THEORY ON QUANTUM AND CLASSICAL MAGNETIC SYSTEMS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;RAFAEL BENGURIA DONOSO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $1.153.708 ;
NCN07_048;374;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2007 DE INVESTIGACION EN CIENCIAS NATURALES;2007;2007;NUCLEUS OF NEURAL MORPHOGENESIS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MIGUEL CONCHA NORDEMANN;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $290.821 ;
NCS07_016;427;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS 2007 NUCLEOS MILENIO DE INVESTIGACION EN CIENCIAS SOCIALES;2007;2007;DEVELOPMENT OF THE CHILEAN ECONOMY RESEARCH PROGRAM:  THE ECONOMY IN NUMBERS AND CLIOMETRIC EXAM OF SOME CASES;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;GERT WAGNER HANDWERCK;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $180.000 ;
NCS07_021;432;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS 2007 NUCLEOS MILENIO DE INVESTIGACION EN CIENCIAS SOCIALES;2007;2007;THE TEACHING PROFESSION IN CHILE:  POLICIES, PRACTICES AND PROJECTIONS;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;BEATRICE AVALOS DAVIDSON;MUJER;NO APLICA;RM;REGION METROPOLITANA; $180.000 ;
NCS07_023-R10;434;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS 2007 NUCLEOS MILENIO DE INVESTIGACION EN CIENCIAS SOCIALES;2007;2007;CENTRO DE MICRODATOS;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;DAVID BRAVO URRUTIA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $388.379 ;
NCS07_024;435;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS 2007 NUCLEOS MILENIO DE INVESTIGACION EN CIENCIAS SOCIALES;2007;2007;SOCIOECONOMIC RESEARCH ON DRUGS USE AND ABUSE;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;EDUARDO VALENZUELA CARVALLO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $180.000 ;
NCS07_030;441;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS 2007 NUCLEOS MILENIO DE INVESTIGACION EN CIENCIAS SOCIALES;2007;2007;CENTER FOR RESEARCH ON SOCIAL STRUCTURE;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;RAUL ATRIA BENAPRES;HOMBRE;NO APLICA;RM;REGION METROPOLITANA; $180.000 ;
NCS07_039-R10;450;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS 2007 NUCLEOS MILENIO DE INVESTIGACION EN CIENCIAS SOCIALES;2007;2007;RESEARCH CENTER IN EDUCATION IN INDIGENOUS AND INERCULTURAL CONTEXTS;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;DANIEL QUILAQUEO RAPIMAN;HOMBRE;NO APLICA;SUR;REGION DE LA ARAUCANIA; $388.379 ;
NCS07_049-R10;460;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS 2007 NUCLEOS MILENIO DE INVESTIGACION EN CIENCIAS SOCIALES;2007;2007;REGIONAL SCIENCE AND PUBLIC POLICY;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;PATRICIO AROCA GONZALEZ;HOMBRE;NO APLICA;NORTE;REGION DE ANTOFAGASTA; $60.000 ;
ICN09_015;475;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2009 INSTITUTOS MILENIO;2009;2010;BIOMEDICAL NEUROSCIENCE INSTITUTE (BNI);MEDICINA Y CIENCIAS DE LA SALUD;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;ANDRES COUVE CORREA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
